Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
3,101,DET,Ifeatu Melifonwu,MeliIf00,DB,22,2021,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,12,,,Syracuse,
3,102,SFO,Ambry Thomas,ThomAm00,DB,21,2021,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,17,1,,Michigan,
3,103,LAR,Ernest Jones,JoneEr01,LB,21,2021,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,36,2,1.0,South Carolina,
3,104,BAL,Brandon Stephens,StepBr01,CB,23,2021,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,49,,,SMU,
3,105,DEN,Baron Browning,BrowBa01,LB,22,2021,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,32,,,Ohio St.,
4,106,JAX,Jay Tufele,TufeJa00,DL,22,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,
4,107,NYJ,Michael Carter,CartMi03,RB,22,2021,0,0,1,6,6,14,0,0,0,0,0,147,639,4,36,325,0,,,,North Carolina,
4,108,ATL,Darren Hall,HallDa03,CB,21,2021,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,21,,1.0,San Diego St.,
4,109,TEN,Dez Fitzpatrick,FitzDe00,WR,23,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville,
4,110,CLE,James Hudson,HudsJa00,OL,22,2021,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati,
4,111,CIN,Cameron Sample,SampCa00,DE,21,2021,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,9,,1.5,Tulane,
4,112,DET,Amon-Ra St. Brown,StxxAm00,WR,21,2021,0,0,0,8,8,17,0,0,0,0,0,7,61,1,90,912,5,1,,,USC,
4,113,DET,Derrick Barnes,BarnDe02,DE,22,2021,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,42,,2.0,Purdue,
4,114,ATL,Drew Dalman,DalmDr00,C,22,2021,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,
4,115,DAL,Jabril Cox,CoxxJa00,LB,23,2021,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,,,LSU,
